0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
Data,Pekao Zrównoważony kat. A (PLN),Pekao Obligacji Plus kat. A (PLN),Pekao Akcji Polskich kat. A (PLN),Pekao Stabilnego Wzrostu kat. A (PLN),Pekao Akcji Amerykańskich kat. A (PLN),Pekao Konserwatywny kat. A (PLN),Pekao Zrównoważony kat. E (PLN),Pekao Akcji Polskich kat. E (PLN),Pekao Akcji Amerykańskich kat. E (PLN),Pekao Stabilnego Wzrostu kat. E (PLN),Pekao Zrównoważony kat. I (PLN),Pekao Akcji Polskich kat. I (PLN),Pekao Akcji Amerykańskich kat. I (PLN),Pekao Stabilnego Wzrostu kat. I (PLN),Pekao Obligacji Dolarowych Plus kat. A (PLN),Pekao Obligacji Dolarowych Plus kat. A (USD),Pekao Konserwatywny kat. I (PLN),Pekao Obligacji Plus kat. E (PLN),Pekao Obligacji Plus kat. I (PLN),Pekao Obligacji Europejskich Plus kat. A (EUR),Pekao Obligacji Europejskich Plus kat. A (PLN),Pekao Akcji Amerykańskich kat. A (USD),Pekao Akcji Amerykańskich kat. I (USD),Pekao Obligacji Europejskich Plus kat. I (EUR),Pekao Obligacji Europejskich Plus kat. I (PLN),Pekao Obligacji Dolarowych Plus kat. I (PLN),Pekao Obligacji Dolarowych Plus kat. I (USD),Pekao Akcji Europejskich kat. A (EUR),Pekao Akcji Europejskich kat. A (PLN),Pekao Akcji Europejskich kat. I (EUR),Pekao Akcji Europejskich kat. I (PLN),Pekao Małych i ¦rednich Spółek Rynku Polskiego kat. A (PLN),Pekao Małych i ¦rednich Spółek Rynku Polskiego kat. I (PLN),Pekao Zrównoważony Rynku Amerykańskiego kat. A (PLN),Pekao Zrównoważony Rynku Amerykańskiego kat. A (USD),Pekao Zrównoważony Rynku Amerykańskiego kat. E (PLN),Pekao Zrównoważony Rynku Amerykańskiego kat. I (PLN),Pekao Zrównoważony Rynku Amerykańskiego kat. I (USD),Pekao Dochodu i Wzrostu Rynku Chińskiego kat. A (PLN),Pekao Dochodu i Wzrostu Regionu Pacyfiku kat. A (PLN),Pekao Akcji Rynków Wschodz±cych kat. A (PLN),Pekao Akcji Małych i ¦rednich Spółek Rynków Rozwiniętych kat. A (PLN),Pekao Akcji Rynków Dalekiego Wschodu kat. A (PLN),Pekao Obligacji Strategicznych kat. A (PLN),Pekao Surowców i Energii kat. A (PLN),Pekao Strategii Globalnej kat. A (PLN),Pekao Zmiennej Alokacji kat. A (PLN),Pekao Spokojna Inwestycja kat. A (PLN),Pekao Obligacji ? Dynamiczna Alokacja FIO kat. A (PLN),Pekao Obligacji ? Dynamiczna Alokacja FIO kat. E (PLN),Pekao Obligacji ? Dynamiczna Alokacja FIO kat. I (PLN),Pekao Akcji ? Aktywna Selekcja kat. A (PLN),Pekao Akcji ? Aktywna Selekcja kat. I (PLN),Pekao Kompas kat. A (PLN),Pekao Zmiennej Alokacji Rynku Amerykańskiego kat. A (PLN),Pekao Dynamicznych Spółek kat. A (PLN),Pekao Dynamicznych Spółek kat. I (PLN),Pekao Bazowy 15 Dywidendowy kat. A (PLN),Pekao Bazowy 15 Dywidendowy kat. E (PLN),Pekao Bazowy 15 Dywidendowy kat. I (PLN),Pekao Obligacji ? Dynamiczna Alokacja 2 kat. A (PLN),Pekao Obligacji ? Dynamiczna Alokacja 2 kat. E (PLN),Pekao Obligacji ? Dynamiczna Alokacja 2 kat. I (PLN),Pekao Konserwatywny Plus kat. A (PLN),Pekao Konserwatywny Plus kat. E (PLN),Pekao Konserwatywny Plus kat. I (PLN),Pekao Wzrostu i Dochodu Rynku Europejskiego kat. A (PLN),Pekao Obligacji i Dochodu kat. A (PLN),Pekao Konserwatywny kat. E (PLN),Pekao Małych i ¦rednich Spółek Rynku Polskiego kat. E (PLN),Pekao Akcji ? Aktywna Selekcja kat. E (PLN),Pekao Dynamicznych Spółek kat. E (PLN),Pekao Wzrostu i Dochodu Rynku Amerykańskiego kat. A (PLN),Pekao Alternatywny - Globalnego Dochodu kat. A (PLN),Pekao Alternatywny - Absolutnej Stopy Zwrotu kat. A (PLN),Pekao Strategii Globalnej - konserwatywny kat. A (PLN),Pekao Dochodu USD kat. A (PLN),Pekao Dochodu USD kat. A (USD),Pekao Strategii Globalnej - dynamiczny kat. A (PLN),Pekao Dłużny Aktywny kat. A (PLN),Pekao Megatrendy kat. A (PLN),Pekao Megatrendy kat. E (PLN),Pekao Megatrendy kat. I (PLN),Pekao Obligacji Samorz±dowych kat. A (PLN),Pekao PPK 2025 (PLN),Pekao PPK 2030 (PLN),Pekao PPK 2035 (PLN),Pekao PPK 2040 (PLN),Pekao PPK 2045 (PLN),Pekao PPK 2050 (PLN),Pekao PPK 2055 (PLN),Pekao PPK 2060 (PLN),Pekao PPK 2020 Spokojne Jutro (PLN),Pekao Bazowy 15 Obligacji Wysokodochodowych kat. A (PLN),Pekao Spokojna Inwestycja kat. I (PLN),Pekao Strategii Globalnej - konserwatywny kat. I (PLN),Pekao Obligacji Samorz±dowych kat. I (PLN),Pekao Kompas kat. I (PLN),Pekao Alternatywny - Absolutnej Stopy Zwrotu kat. I (PLN),Pekao Bazowy 15 Obligacji Wysokodochodowych kat. I (PLN),Pekao Akcji Rynków Dalekiego Wschodu kat. I (PLN),Pekao Obligacji i Dochodu kat. I (PLN),Pekao Dochodu i Wzrostu Rynku Chińskiego kat. I (PLN),Pekao Strategii Globalnej - dynamiczny kat. I (PLN),Pekao Strategii Globalnej kat. I (PLN),Pekao Dłużny Aktywny kat. I (PLN),Pekao Akcji Rynków Wschodz±cych kat. I (PLN),Pekao Zmiennej Alokacji kat. I (PLN),Pekao Wzrostu i Dochodu Rynku Amerykańskiego kat. I (PLN),Pekao PPK 2065 (PLN),Pekao Dochodu USD kat. I (PLN),Pekao Dochodu USD kat. I (USD),Pekao Surowców i Energii kat. I (PLN),Pekao Obligacji Strategicznych kat. I (PLN),Pekao Ekologiczny kat. A (PLN),Pekao Dochodu i Wzrostu Regionu Pacyfiku kat. I (PLN),Pekao Ekologiczny kat. I (PLN),Pekao Alternatywny - Globalnego Dochodu kat. I (PLN),Pekao Konserwatywny Plus kat. L (PLN),Pekao Obligacji Plus kat. L (PLN),Pekao Akcji ? Aktywna Selekcja kat. L (PLN),Pekao Dynamicznych Spółek kat. L (PLN),Pekao Obligacji Samorz±dowych kat. L (PLN),Pekao Strategii Globalnej kat. L (PLN),Pekao Megatrendy kat. L (PLN),Pekao Obligacji ? Dynamiczna Alokacja 2 kat. L (PLN),Pekao Spokojna Inwestycja kat. L (PLN)
28.07.1992,10,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd
29.07.1992,10,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd
30.07.1992,10,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd
06.08.1992,10.06,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd
13.08.1992,10.12,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd
20.08.1992,10.18,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd
27.08.1992,10.25,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd
03.09.1992,10.31,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd
10.09.1992,10.38,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd,bd
